Bike,Stars,Title,Review,Time,Design and styling,Reliability,Comfort,Service experience,Value for money,Used it for,Ridden for,Ridden for if owned,Owned for,Tips for other riders,Review was useful,Review was not useful
Bajaj Pulsar NS125,5,You have to see this.,"#PerformanceSuper powerful+On the streets with unmatched performance. The 125 cc DTS-i engine delivers 8.82 kW (12 PS) of power and 11 Nm of torque, making it the most powerful beast in its segment.#DesignStyled to turn heads-A mean machine that’s also an attention magnet. Glossy metallic paint, new LED headlamps & infinity twin-strip LED tail lamp. All combined for an eye-grabbing design.#ConnectivityStay ahead of the pack-Class-leading instrument console with Bluetooth connectivity, gear position indicator, Distance-To-Empty Readout, Instantaneous Fuel Economy & Average Fuel Economy#Handling & SafetyAgility with Precision Braking-Perfect balance and comfort on any road with a 5-step mono-shock suspension beefed up perimeter frame and an anti-skid braking system in combination with a 240 mm front petal disc brake and a 130 mm rear drum brake",6 weeks ago,5,5,5,5,5,Everything,> 15000 kms,15000+ kms,> 1 yr,"Super powerful engine
Own the streets with unmatched performance. The 125 cc DTS-i engine delivers 8.82 kW (12 PS) of power and 11 Nm of torque
Agility with PrecisiPerfect balance and comfort on any road with a 5-step monoshock suspension and beefed up perimeter frame and an anti-skid braking system in combination with a 240 mm front petal disc brake and a 130 mm rear drum brake",2,1
Bajaj Pulsar NS125,5,Ns king,Riding experience ns bike comfortable and smooth and powerful machine I'm really happy servicing maintenance good performance good battery condition good display is most beautiful and light mind-blowing driving comfortable with 2 boys comfortable mileage good tyre good handle good clutch brack good,5 weeks ago,4,4,5,4,4,Daily Commute,5000-10000 kms,5000-15000 kms,3-6 months,Yes,2,2
Bajaj Pulsar NS125,5,Rock,Good experience of buying this bike. Riding is more comfortable and enjoyable. it looks more stylish and has better performance etc servicing is also good. better pulsar 150. ns 125 is a better option to buy for any work. it's very comfortable to sit with three members. Riding is also a more happy and feeling good.,47 weeks ago,5,5,5,3,4,Everything,5000-10000 kms,5000-15000 kms,3-6 months,Ok,1,1
Bajaj Pulsar RS 200,5,Pulsar rs 200,,6 years ago,5,5,5,5,5,No Data,No Data,No Data,No Data,No Tips,435,22
Bajaj Pulsar RS 200,5,Gud value for money bike,,9 years ago,5,4,4,No Service Experience,No Value Rating,No Data,No Data,No Data,No Data,No Tips,161,24
Bajaj Pulsar RS 200,3,King of 200cc....,"When i bought it it was the occasion of diwali... I own pulsar rs 200 demon black (abs)... It feels like a sports bike and pickup is awesome and top speed is also very good it reaches 145kmph in 17 seconds... I ride it in highway occasionally because it not suitable for city rides in traffic it gets heated very badly because of that hot air are blown on the leg by the air blower... But in highway its beast and u can easily ride it at an average speed of 90 to 100 kmph without any risk because it have abs and controlling is to good..The main three thing are very bad in this bike:1. Mileage:- city - 25kmpl                      highway- 32kmpl 2. 165 kg weight without fuel with fuel 175 to 180kg3. Fairing makes to much noise...The things which i like:1. Its pickup 2. Top speed is 154 kmph that was awesome for a     200cc bike 3. Balancing is also good 4. Very comfortable riding position not bad like yamaha r15...Servicing and maintenance is too low around per service 1200rs....Looks is awesome and dual projector head lamp, awesome console, full fairing body, unique led tail lamp etc...Bike is best in its segment and its better than buying ktm rc 200...",6 years ago,4,5,4,5,4,Occasional Commute,> 15000 kms,15000+ kms,> 1 yr,Always service the bike on 4000 km and stock tyres are very bad so replace after 15000 km and always use motul 5100 engine oil for great performance...,129,19
Bajaj Pulsar RS 200,4,Honest review after 3 months,,8 years ago,4,4,3,No Service Experience,No Value Rating,No Data,No Data,No Data,No Data,No Tips,95,9
Bajaj Pulsar RS 200,4,Mind blowing experience with rs200 even it beats ktm rc 200 and r15 v3 in comfort and handling,"I was very exited when we were on the way to the showroom and specially when first time i sit on the bike accelerate, it was amazing. But unfortunately my dad was little bit angry because he want me to buy royal enfield he said it's very strong and traditional bike but i said dad please i want to buy a sports bike.If i talk about it's performance, guys that's mind blowing.Specially it's acceleration, pick up, and breaking are truly satisfying.And the best part it's comforting seat and handling.One of my friend have ktm rc 200 and another one have r15 v3 both bikes are good but their handling and seats are very uncomfortable and i think everybody know that if the seat is uncomfortable how anyone can sit on it easily for rides.",5 years ago,4,4,5,5,4,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,"I suggest to change oil after every 3,500 kms and u just need to take little bit take care of it, which i personally do because i just love it !",63,10
Bajaj Pulsar RS 200,5,Best bike in the segment best vfm,"Bajaj pulsar rs 200 is a beast. It is the best bike of its segment. It is worthy bike. Good  handling , sharp braking , good performance, low end lags little but it's quite manageable and phenomenal. Post 5000 rpm the engine shows it's true blue characteristics. Phenomenal headlights. Do not ask about the looks it just look like a very expensive. It is a feature loaded bike. I personally well satisfied to have a pulsar rs 200.",6 years ago,5,5,5,3,3,Everything,5000-10000 kms,5000-15000 kms,> 1 yr,No Tips,54,6
Bajaj Pulsar RS 200,5,Black beast,,8 years ago,4,5,5,No Service Experience,No Value Rating,No Data,No Data,No Data,No Data,No Tips,43,2
Bajaj Pulsar RS 200,5,Sports bike so better,"My friends are using ktms and other bike, when i purchased rs 200 they laughed at me , but when we started travelling to long drive i started laughing at them because they couldn't reach me , their bikes were getting trouble, pulsar rs 200 fulfilled my dream. I love this bike. Thanks to bajaj pulsar.",6 years ago,5,5,5,5,5,Everything,< 5000 kms,0-5000 kms,3-6 months,"Change oil for every 2000 KMS , maintenance property by changing tubeless tyres , love your bike.",47,9
Bajaj Pulsar RS 200,5,Detailed review of pulsar RS 200,"Hello,  I am Samarth Pawar I come from Karnataka a small city called Mudhol. I bought a Bajaj pulsar RS 200 Bs6 red color in the year 2022. So I want to share about my buying experience- when I decided to buy a new bike but my budget was only under  2.2Iacs  I took many test rides of various bikes but, I didn't feel the power and torque of any bike other than pulsar RS 200. There is no company that provides 24bhp and 18nm torque and a fully faired bike in just 1.7lacs ex-showroom. So I finally booked the bike in another city because there are very less Bajaj showrooms where there are knowledgeable dealers and mechanics for Bajaj sport bikes because in small cities and towns, there are very less sports bike users and mechanics available. So, I bought it from Vijaypur City the delivery experience was good and the dealers also have a good customer relationship. So, now about riding experience I have taken it more on highways and less in cities it gives me better performance and fuel efficiency on highways but there is too little fuel efficiency in city rides it is comfortable for riding on highways it doesn't get any backpains while riding a full faired bike. It runs too smoothly on highways and has smooth gear shifts it doesn't vibrate till it achieves 100kmph speed. Overall I had a good riding experience with it except for the rear tire the company provides 130-section rear tires for the bike it does not have a good grip at high speeds and on cornerings because it is not a radial tire and the tire size is too short for this bulky machine. When it comes to the looks and performance I have already said that the bike has very killer looks and a bulky muscular fairing it looks awesome from all sides but what I like the most is bs6 2021 edition colors these variant colors look dashing. And the performance of the bike is it provides 24bhp and 18nm torque and it can achieve easily 140-150kmph speed at a maximum in 40to50 seconds when we ride it below   5000 to 6000 rpm it runs decent but when we twist the throttle above 6500rpm it runs very aggressively. But it feels like missing of slipper clutch in it for high-speed downshifts. Know, about service and maintenance- there is a bit higher maintenance for sports bikes as compared to regular commuting bikes because these bikes are performance-oriented bikes that need regular service and maintenance but bajaj service is a bit cheaper compared to other companies. However, there are very less authorized service stations and mechanics for Bajaj sport bikes another disadvantage is Bajaj uses low-quality engine oil for ns200 and rs200 for cost-cutting bajaj has to upgrade its quality of engine oil. And lastly are the pros and cons.Advantages-* it has good looks and design. * has good power and torque. * has a refined and smooth engine.* Pocket-friendly to maintain.* it comes with liquid-cooled technology and a six-speed gear box.Disadvantages-* there are very less knowledgeable mechanics for sports bikes.* I  wish it could have a slipper clutch and a wider rear tire.* they have to improve the fit and finish quality of products.* they have to reduce cost-cutting and upgrade the quality of products.* there is very little availability of spares in the service center.",46 weeks ago,5,4,4,4,4,Everything,< 5000 kms,0-5000 kms,> 1 yr,Carry good quality of engine oil while servicing.  And it is better to upgrade rear tyre from 130 to 140 section. And lube your chain regularly in every 300 to 400 kmph interval . Compny claims 5000kms running period for oil change but  it is better to service your bike after running upto 3000 or 3500 kms.,45,9
Bajaj Pulsar RS 200,5,King rs200,"Rs200 is the best bike in all 200cc bike of India it has more power than ns200,duke200,rc200, Rs200 is king of 200cc  highway king it has the best braking and seating than all bikes it builts very strong than ns200,rc200,duke200 it looks sexy in all bikes of India. Those who want to buy sports bike o buy rs200 it is good at seating and braking power engine power also I am using this bike for 3 years it is giving good performance.",3 years ago,5,5,5,5,5,Everything,> 15000 kms,15000+ kms,> 1 yr,Change oil for every 3000kms to give better performance use tubeless tyres,41,5
